2004;Artahé;;Artahe;Anglais;Black Coat Press;;
2006;Arthur et la cité interdite;Luc Besson;Arthur and the Forbidden City;Anglais;HarperTrophy;;
2005;Arthur et la cité interdite;Luc Besson;亞瑟與毫髮人;Chinois;麥田出版;;
1998;Un chagrin de passage;Françoise Sagan;Múló bánat : regény;Hongrois;Saxum Fiesta,;;
1995;Candy Story;Marie Redonnet;Candy Story;Anglais;University of Nebraska Press;;
1995;Candy Story;Marie Redonnet;Candy Story;Anglais;Bison Books;;
2005;Archéologie du cinéma et mémoire du siècle. Dialogue;;Cinema;Anglais;;;
1991;Courts Voyages au pays du peuple;Jacques Rancière;Breves viajes al país del pueblo;Espagnol;Nueva Visión;Argentine;Philosophie
2003;Courts Voyages au pays du peuple;Jacques Rancière;Short Voyages to the Land of the People;Anglais;;;
2006;Fitna - Guerre au coeur de l'Islam;Gilles Kepel;The War for Muslim Minds;Anglais;Belknap Press;;
2008;Le Grand Incendie de Londres;;"A nagy londoni tűzvész" : tudósítás csatlakozásokkal és elágazásokkal, 1985-1987;Hongrois;Irod.- és Kultúratud. Int. L'Harmattan, ELTE BTK M.;;
2003;Fragments... et autres textes;Jean Genet;Fragments of the Artwork;Anglais;;;
2003;Fragments... et autres textes;Jean Genet;Fragments of the Artwork;Anglais;;;
2003;A nous deux, le vin !;Marc Chapleau;Let's Talk Wine! An Expert Takes on your Questions;Anglais;XYZ Editeur;;
1991;Black Diva;;Black Diva: Selected Poems, 1982-1986;Anglais;Guernica Editions;;
2002;Combats pour le sens;;The Struggle for Meaning;Anglais;Ohio University Press;;
1990;Bonjour, là, bonjour;Michel Tremblay;Bonjour, là, Bonjour;Anglais;Talonbooks;;
1995;Casse-pipe à la Nation;Léo Malet;Death of a Marseilles Man;Anglais;Macmillan;;
1991;Casse-pipe à la Nation;Léo Malet;黄金大劫案;Chinois;中国戏剧出版社;;
2004;Le Petit Buveur d'encre rouge;Eric Sanvoisin;小紅吸墨鬼;Chinois;遠流出版公司;;
2003;Les Mémoires d'un fou;;Sobre la lectura;Espagnol;Libros del Zorzal;;
1999;Les Identités meurtrières;Amin Maalouf;الهويات القاتلة;Arabe;;;
2007;L'Ile noire (Les Aventures de Tintin);Hergé;La isla negra;Espagnol;;Espagne;Bandes dessinées
2001;Balzac et la petite tailleuse chinoise;Sijie Dai;Balzac and the Little Chinese Seamstress;Anglais;Knopf USA;;
2002;Balzac et la petite tailleuse chinoise;Sijie Dai;Balzac and the Little Chinese Seamstress;Anglais;Anchor Books;;
2003;Balzac et la petite tailleuse chinoise;Sijie Dai;Balzac and the Little Chinese Seamstress;Anglais;;;
2006;Archimondain Jolipunk;Camille de Toledo;SuperHip JoliPunk;Anglais;;;
2008;Le Piège de Dante;Arnaud Delalande;El noveno círculo;Espagnol;Grijalbo;Espagne;Fiction
;Le Piège de Dante;Arnaud Delalande;但丁的陷阱;Chinois;PRESSES UNIVERSITAIRES DE FRANCE - PUF;;
;Littoral;Wajdi Mouawad;Litoral;Espagnol;KRK;;
2004;Astérix chez les Bretons;;Asterix in Britain;Anglais;;;
2004;Astérix chez les Bretons;;Asterix in Britain;Anglais;;;
1997;Sur la télévision;Pierre Bourdieu;Sobre a Televisão;Portugais;Zahar;Brésil;Sociologie
1999;Sur la télévision;Pierre Bourdieu;عن التليفزيون وآليات التلاعب بالعقول;Arabe;دار المحروسة;;
2002;Sur la télévision;Pierre Bourdieu;布赫迪厄論電視;Chinois;麥田出版;;
2006;Candide et autres contes;Voltaire;Candide and Other Stories;Anglais;;;
2007;Chaleur du sang;Irene Nemirovsky;El ardor de la sangre;Espagnol;Salamandra;Espagne;Fiction
2007;Chaleur du sang;Irene Nemirovsky;Fire In the Blood;Anglais;Knopf USA;;
2007;Chaleur du sang;Irene Nemirovsky;Sang calenta;Catalan;RBA Libros;Espagne;Fiction
1998;L'Illusion identitaire;Jean-François Bayart;أوهام الهوية;Arabe;;;
2006;Cool Memories V;Jean Baudrillard;Cool Memories V;Anglais;;;
2006;Cool Memories V;Jean Baudrillard;Cool Memories V;Anglais;;;
2008;Al-Qaida dans le texte;- Collectif;Al Qaeda in Its Own Words;Anglais;Belknap Press;;
2007;La Métaphysique des tubes;Amélie Nothomb;Metafísica de los tubos;Espagnol;Anagrama;Espagne;Fiction
2002;La Métaphysique des tubes;Amélie Nothomb;管子的玄思;Chinois;深圳海天出版社;;
2005;Drôle de cauchemar;Bruno St-Aubin;My Favorite Monster;Anglais;Compass Point Books;;
1994;Des palais du Chah aux prisons de la Révolution;Ehsan Naraghi;From Palace to Prison;Anglais;Ivan R. Dee;;
2002;Choix de poésies;Jacques Prévert;Choix de poésies;Français;;;
2003;Chat sauvage;Jacques Poulin;Wild Cat;Anglais;Cormorant Books;;
2004;Maigret et la grande perche;Georges Simenon;Maigret és a Langaléta;Hongrois;Park;;
2001;Partita;;Piano Music for Four Hands;Anglais;University of Nebraska Press;;
1996;Choses crues;Lise Bissonnette;Affairs of Art;Anglais;House of Anansi;;
2004;Colette;Julia Kristeva;Colette;Anglais;;;
2005;Colette;Julia Kristeva;Colette;Anglais;;;
2001;Colette;Julia Kristeva;Heidegger y los modernos;Espagnol;Paidos;;
2004;Célanire cou-coupé;Maryse Condé;Who Slashed Célanire's Throat?;Anglais;Atria Books;;
1992;Audition;;Audition;Anglais;MIT Press;;
1994;La Place;Annie Ernaux;المكان;Arabe;دار شرقيات;;
2008;L'aube le soir ou la nuit;;Dawn Dusk or Night;Anglais;Knopf USA;;
2008;L'aube le soir ou la nuit;;El alba la tarde o la noche;Espagnol;Anagrama;Espagne;Fiction
2008;L'aube le soir ou la nuit;;L'alba el capvespre o la nit;Catalan;Empúries;Espagne;Fiction
2004;Au piano;Jean Echenoz;Piano;Anglais;The New Press;;
2004;Au piano;Jean Echenoz;Piano;Anglais;;;
2004;Eloge de la fadeur;François Jullien;In Praise of Blandness;Anglais;Zone Books;;
2007;Les Dieux ont soif;;Os deuses têm sede;Portugais;Boitempo;Brésil;Littérature
1975;Les Dieux ont soif;;诸神渴了;Chinois;;;
1982;Les Dieux ont soif;;诸神渴了;Chinois;上海译文出版社;;
1998;Essay on the Origin of Languages and Writings Related to Music;;Essay on the Origin of Languages and Writings Related to Music;Anglais;Dartmouth College Press/Univ. Press of New England;;
1999;Eloge de la Variante;Bernard Cerquiglini;In Praise of the Variant;Anglais;Johns Hopkins University Press;;
1994;Un crime en Hollande;Georges Simenon;Maigret in Holland;Anglais;Harvest Books;;
1981;Le Chevalier de Maison-Rouge;;红屋骑士;Chinois;;;
2011;Comment je suis devenu stupide;Martin Page;나는 어떻게 바보가 되었나;Coréen;Yolimwon 열림원;Corée du sud;Roman
1998;C'est tout;Marguerite Duras;No More;Anglais;Seven Stories Press;;
;Entretiens avec le professeur Y;;Conversaciones con el profesor Y;Espagnol;Caja Negra;Argentine;Littérature
2007;Le Secret du treizième apôtre;Michel Benoît;El apóstol número 13;Espagnol;Grijalbo;Espagne;Fiction
2008;Le Secret du treizième apôtre;Michel Benoît;El apóstol número 13;Espagnol;Círculo de lectores;Espagne;Fiction
2004;Devenez sorciers, devenez savants !;;Debunked!;Anglais;Johns Hopkins University Press;;
2007;Ravel;Jean Echenoz;Ravel;Portugais;Sextante Editora;Portugal;Roman
2006;A nos chevaux !;Dominique Manotti;Dead Horsemeat;Anglais;;;
2002;Un Paysage d'Evènements;Paul Virilio;La poética de Mallarmé;Espagnol;Copista;;
2006;Journaux intimes;;Diarios íntimos;Espagnol;Leviatán;Argentine;Autobiographie
1998;Le Superbe Orénoque;;A büszke Orinoco;Hongrois;Unikornis;;
1999;Adieu à Emmanuel Lévinas;Jacques Derrida;Adieu to Emmanuel Levinas;Anglais;;;
1999;Adieu à Emmanuel Lévinas;Jacques Derrida;Adieu to Emmanuel Levinas;Anglais;;;
2006;La Petite Fille qui aimait trop les allumettes;Gaétan Soucy;A rapariguinha que gostava demasiado de fósforos;Portugais;Teorema;Portugal;Roman
2002;La Petite Fille qui aimait trop les allumettes;Gaétan Soucy;太愛火柴的女孩;Chinois;皇冠文化出版有限公司;;
2008;Le Capitaine Pamphile;;El capità Pàmfil;Catalan;Pagès;Espagne;Fiction
;La Vie quotidienne des dieux grecs;;古希腊众神的生活;Chinois;VRIN;;
1990;Femmes;Philippe Sollers;Women;Anglais;;;
1992;Femmes;Philippe Sollers;Women;Anglais;;;
2008;50 dessins pour assassiner la magie;;50 Drawings to Murder Magic;Anglais;Seagull Books;;
2007;Le Lotus bleu (Les Aventures de Tintin);Hergé;El loto azul;Espagnol;;Espagne;Bandes dessinées
1997;La Sagesse de l'Amour;Alain Finkielkraut;The Wisdom of Love;Anglais;University of Nebraska Press;;
2000;Danse avec les baleines;Anne Collet;Swimming with Giants;Anglais;Milkweed;;
2002;Danse avec les baleines;Anne Collet;Swimming with Giants;Anglais;Milkweed;;
2007;As You Were Saying;- Collectif;As You Were Saying;Anglais;Dalkey Archive Press;;
2006;Frantz Fanon;Alice Cherki;Frantz Fanon;Anglais;Cornell University Press;;
1996;Christian Dior;;Christian Dior;Anglais;Arcade Publishing;;
1996;Christian Dior;;Christian Dior;Anglais;Arcade Publishing;;
2007;Les Nouveaux Martyrs d'Allah;Farhad Khosrokhavar;شهداء الله الجدد;Arabe;معهد الدراسات الاستراتيجية العراق;;
2007;Le Rideau;Milan Kundera;The Curtain;Anglais;HarperCollins Publishers Inc.;;
2006;Le Rideau;Milan Kundera;帷幕;Chinois;上海译文出版社;;
2010;Sarinagara;Philippe Forest;Sarinagara;Anglais;Mercury Press;;
;Sarinagara;Philippe Forest;然而;Chinois;北京图书馆出版社;;
2004;Crise et Sortie de Crise;;Capital Resurgent;Anglais;Harvard University Press - Cambridge;;
2008;La Seine était rouge;;The Seine Was Red;Anglais;Indiana University Press;;
