2008,ALGÉRIE,Bouraoui Nina,Appelez-moi par mon prénom,Stock,Sédia,500.0,Littérature / Fiction,français (Algérie)
2008,ALGÉRIE,Mimouni Rachid ,L'honneur de la tribu,Stock,Sédia,700.0,Littérature / Fiction,français (Algérie)
2008,ALGÉRIE,Begag Azouz,Un train pour chez nous,Thierry Magnier,Sédia,250.0,Jeunesse,français (Algérie)
2009,ALGÉRIE,Mostaghanemi Ahlem (traduit par France Meyer),Le Chaos des sens,Albin Michel,Sédia,930.0,Littérature / Fiction,français (Algérie)
2009,ALGÉRIE,Maalouf Amin,Le Dérèglement du monde,Grasset & Fasquelle,Sédia,1000.0,Littérature / Fiction,français (Algérie)
2009,ALGÉRIE,Hussein Mahmoud,Penser le Coran,Grasset & Fasquelle,Sédia,500.0,SHS / Philosophie / Religion,français (Algérie)
2009,ALGÉRIE,Tadjer Akli,Il était une fois peut-être pas,JC Lattès,APIC,500.0,Littérature / Fiction,français (Algérie)
2009,ALGÉRIE,Tadjer Akli,Le Porteur de cartable,JC Lattès,APIC,500.0,Littérature / Fiction,français (Algérie)
2009,ALGÉRIE,Begag Azouz,Dites-moi bonjour,Librairie Arthème Fayard,Sédia,480.0,Littérature / Essai,français (Algérie)
2009,ALGÉRIE,Orsenna Erik,L'Avenir de l'eau,Librairie Arthème Fayard,Sédia,300.0,SHS / Histoire / Géographie / Archéologie,français (Algérie)
2010,ALGÉRIE,"Lainé Jean-Marc, Malgrain Christophe et Dzialowski Jean-Jacques",Créez vos super-héros. 50 archétypes du justicier au super-vilain,Eyrolles,Lazhari Labter Editions,1100.0,Jeunesse,
2010,ALGÉRIE,Lainé Jean-Marc et Delzant Sylvain,Les Manuels de la BD vol. 1/La création d'un univers de fiction,Eyrolles,Lazhari Labter Editions,1100.0,Jeunesse,
2010,ALGÉRIE,Lainé Jean-Marc et Delzant Sylvain,Les Manuels de la BD vol. 2/L'écriture du scénario ,Eyrolles,Lazhari Labter Editions,1100.0,Jeunesse,
2010,ALGÉRIE,Lainé Jean-Marc et Delzant Sylvain,Les Manuels de la BD vol. 3/La réalisation du storyboard,Eyrolles,Lazhari Labter Editions,1100.0,Jeunesse,
2010,ALGÉRIE,Lainé Jean-Marc et Delzant Sylvain,Les Manuels de la BD vol. 4/Le dessin des planches,Eyrolles,Lazhari Labter Editions,1100.0,Jeunesse,
